twitter-id	user-id	month	weekday	longitude	latitude	country-id	city-id	artist-id	track-id
134243699369590784	74717431	11	2	-50.531223	-18.453224499999997	0	0	450514	7748381	
134243700380401664	127821914	11	2	106.83445	-6.232959999999999	1	1	202085	3529910	
134243869201154048	174194590	11	2	-0.142822	51.52074	2	2	330061	5762915	
134244034020524032	141847381	11	2	106.75239	-6.576483	1	3	404350	6987845	
134244371557122048	87215499	11	2	-73.98989	40.738976	3	4	227460	4082536	
134244453417357312	54395138	11	2	106.83445	-6.232959999999999	1	1	320569	5590680	
134244811845812226	174194590	11	2	-0.142822	51.52074	2	2	439113	7556791	
134244999998091264	42774199	11	2	-46.595524999999995	-23.6828135	0	5	220615	3976655	
134245551817498624	89096485	11	2	106.83445	-6.232959999999999	1	1	471013	8079996	
134245667265708032	121322415	11	2	112.629085	-7.972494999999999	1	6	322177	5617074	
134245733451833346	174194590	11	2	-0.142822	51.52074	2	2	317460	5546347	
134245979569397760	46468777	11	2	-0.58063847	44.837524	4	7	98394	1680499	
134246069046484993	117466485	11	2	-86.260315	39.798725	3	8	197860	3443233	
134246221442326528	178877455	11	2	-47.0302525	-22.8952045	0	9	272025	4823951	
134246283241209856	276599029	11	2	-46.784482499999996	-23.533433	0	10	240055	4290550	
134246287200632833	70904896	11	2	-73.557335	45.493637	5	11	274007	4860180	
134246499549851648	117093917	11	2	-0.679645	51.415066	2	12	92107	1623164	
134246697411952640	328081335	11	2	115.071575	-8.4554715	1	13	233683	4193859	
134246697411952640	328081335	11	2	115.071575	-8.4554715	1	13	233683	4193859	
134246990698651648	80207153	11	2	101.79216	3.0123665	6	14	417979	7196755	
134247021312872448	364762468	11	2	106.72175	-6.1661973	1	15	360143	6283613	
134247027604328448	42774199	11	2	-46.595524999999995	-23.6828135	0	5	155809	2676736	
134247079915692032	16048130	11	2	-49.288439	-25.4951095	0	16	459099	7897494	
134247093933060097	255764426	11	2	106.82691	-6.168961	1	17	478007	8193587	
134247214921940993	27571734	11	2	120.99209	14.502929	7	18	151666	2579848	
134247259981357056	343910282	11	2	-35.518446499999996	-6.3244405	0	19	117659	2021946	
134247323457945603	174194590	11	2	-0.142822	51.52074	2	2	58322	1028437	
134247515552874496	53547509	11	2	107.0085	-6.281064	1	20	270067	4793631	
134247727549792256	40586163	11	2	-72.75692	41.67547	3	21	135108	2307270	
134247988938813440	58194682	11	2	106.82691	-6.168961	1	17	335480	5865221	
134248050834157568	287567223	11	2	119.43352	-5.1504107	1	22	167669	2938954	
134248209152348160	174194590	11	2	-0.142822	51.52074	2	2	229442	4117745	
134248238046912512	39071065	11	2	-73.6461755	41.194894500000004	3	23	122991	2106158	
134248641849335808	62820633	11	2	103.63966	-1.6290275	1	24	233682	4193664	
134248913355018241	124144016	11	2	101.65367549999999	3.03296695	6	25	110583	1900768	
134248937338048512	57013045	11	2	36.314774	-0.497782	8	26	34087	9016685	
134248999459889152	117466485	11	2	-86.260315	39.798725	3	8	122991	2106349	
134249017709314048	245369472	11	2	-49.303646	-16.669836	0	27	356772	6213179	
134249366763470849	174194590	11	2	-0.142822	51.52074	2	2	56531	9107311	
134249458253828097	134075395	11	2	106.77087700000001	-6.562181	1	28	213787	9376540	
134250077844811776	80340655	11	2	101.705305	3.14845	6	29	386633	6698747	
134250153585557504	297446733	11	2	-59.98032500000001	-2.572425	0	30	9192	141574	
134250155296833536	47868664	11	2	106.833115	-6.344603	1	31	9192	141574	
134250221562638336	172608245	11	2	106.813635	-6.5333155000000005	1	32	361211	6303554	
134250559631933441	174194590	11	2	-0.142822	51.52074	2	2	476146	8163016	
134250594172018688	156625120	11	2	35.2433215	38.963745	9	33	356772	6213179	
134250674773966849	289227118	11	2	18.029898	59.317852	10	34	281988	4990885	
134250916030320640	240425161	11	2	-93.559975	33.92481	3	35	250929	4469886	
134251191461875712	172235979	11	2	-99.20456	19.395748	11	36	59333	1049763	
134251198965489664	24702558	11	2	-47.817994999999996	-21.213356	0	37	197223	3434899	
134251201356234752	33456067	11	2	103.85207	1.3369459	12	38	367391	6405977	
134251437772378112	189830958	11	2	6.169049	48.69936	4	39	246486	4395221	
134251477521793025	292462735	11	2	-38.5026015	-12.875334500000001	0	40	324021	5644216	
134251961808715777	245878131	11	2	107.052025	20.94432	13	41	77470	1379803	
134252127060099072	57999108	11	2	121.00891	14.563949	7	18	301735	5307442	
134252250515251200	48108599	11	2	-122.180885	37.72342	3	42	122991	2106380	
134252312469319681	174194590	11	2	-0.142822	51.52074	2	2	49788	879763	
134252499669495808	240425161	11	2	-93.55976	33.924404	3	35	122991	2106246	
134252689369477120	189830958	11	2	6.163511	48.741035	4	43	56373	997465	
134252800271065090	174194590	11	2	-0.142822	51.52074	2	2	42944	747920	
134253116605472768	125303503	11	2	106.82691	-6.168961	1	17	104957	1806254	
134253395665108992	41800245	11	2	-80.988235	35.23542	3	44	122991	2106349	
134253749601447936	160509434	11	2	-34.8821535	-7.1494065	0	45	325402	5663937	
134253817985384448	189830958	11	2	6.094762	48.874756	4	46	259514	4611153	
134254017705545729	99774117	11	2	4.4131046000000005	52.190767	14	47	40551	710744	
134254135481602048	21231197	11	2	-75.478195	40.586697	3	48	263077	4685603	
134254302830145537	147155824	11	2	106.82691	-6.168961	1	17	324021	5644160	
134254396048551936	259357323	11	2	-44.5232375	-22.441994	0	49	272025	4823730	
