745:1148=0.5992029905319214,1223=0.5413356423377991,3429=0.38103318214416504,720=0.37090641260147095,3751=0.34382861852645874,1=0.3146859109401703,34=0.2865288257598877,1265=0.27697211503982544,608=0.27642014622688293,1136=0.27361539006233215
1207:1247=0.4306389391422272,919=0.41673097014427185,923=0.41240066289901733,1952=0.3973250389099121,908=0.38935497403144836,912=0.3879813849925995,1193=0.3863823711872101,953=0.3768099546432495,858=0.36867615580558777,1225=0.36468935012817383
595:364=0.5330958366394043,588=0.524915337562561,1022=0.48034125566482544,2081=0.4746340215206146,783=0.45809805393218994,1907=0.44643938541412354,594=0.4389302730560303,1=0.4365079700946808,1282=0.4269846975803375,2087=0.4152512550354004
1246:1302=0.44251954555511475,1961=0.4346434473991394,1968=0.4236741065979004,2420=0.41753917932510376,1962=0.39871278405189514,1097=0.3955996036529541,2268=0.393005907535553,3448=0.39163872599601746,592=0.37954074144363403,2918=0.3790668845176697
1197:1196=0.5064423680305481,1198=0.49684545397758484,260=0.49652352929115295,1270=0.482826828956604,1210=0.47376468777656555,1291=0.46445217728614807,2918=0.45360127091407776,1240=0.4522336721420288,1265=0.44864651560783386,1136=0.4453166425228119
2687:1907=0.4544767439365387,595=0.39117056131362915,1566=0.38940998911857605,783=0.38590824604034424,364=0.3774068355560303,1688=0.3331690728664398,588=0.32859984040260315,48=0.3251398801803589,2081=0.32301855087280273,2294=0.32229846715927124
260:1196=0.6382222175598145,1210=0.5770432353019714,1198=0.5702437162399292,1240=0.547705888748169,1214=0.5398925542831421,1270=0.5352938771247864,2571=0.5334671139717102,589=0.5295886993408203,2628=0.5202309489250183,1097=0.5157799124717712
2355:1=0.4744568467140198,3114=0.44570913910865784,2987=0.4161076843738556,588=0.41005221009254456,2716=0.40424472093582153,1580=0.387871116399765,595=0.3869709372520447,3175=0.3848632276058197,2396=0.382478266954422,2858=0.37846678495407104
2028:110=0.5163747072219849,527=0.5094998478889465,457=0.4992128610610962,589=0.4954613149166107,318=0.4951361417770386,2571=0.4893063008785248,1196=0.4848402738571167,593=0.48338639736175537,296=0.47613638639450073,1198=0.4745616316795349
2804:1394=0.4270261824131012,1136=0.4230008125305176,1270=0.42263683676719666,2918=0.4223933219909668,1259=0.41671690344810486,2791=0.41494491696357727,2797=0.4105116128921509,1197=0.3979920446872711,2174=0.39618414640426636,1968=0.3926851749420166
2797:2174=0.5258808135986328,1270=0.5012680292129517,2100=0.4962228536605835,2918=0.486686646938324,2716=0.4718343913555145,1097=0.46734628081321716,1307=0.4650755226612091,1394=0.4580078423023224,1968=0.4475768506526947,3448=0.4472247362136841
1962:1302=0.44457972049713135,2739=0.40467315912246704,1961=0.39911705255508423,1246=0.39871275424957275,1124=0.3779229521751404,1674=0.3707854449748993,1293=0.36963653564453125,3448=0.36231347918510437,1231=0.35603347420692444,2352=0.3539569675922394
1022:2096=0.571571946144104,1029=0.5510017275810242,594=0.540302038192749,2087=0.533395528793335,1032=0.5060303211212158,2080=0.49595561623573303,596=0.4803495407104492,595=0.4803412854671478,1282=0.46414056420326233,2078=0.4635864794254303
1028:2080=0.45043623447418213,2081=0.44398272037506104,1035=0.430584192276001,594=0.4282909035682678,1022=0.4272649884223938,1029=0.4226294755935669,2078=0.4160236418247223,2087=0.4156235158443451,919=0.41332316398620605,588=0.39870259165763855
2340:539=0.30082669854164124,1835=0.2803380489349365,1393=0.27702000737190247,597=0.2694227993488312,587=0.2626641094684601,802=0.24947363138198853,454=0.24767373502254486,2424=0.24760954082012177,2316=0.24326248466968536,1801=0.24051541090011597
594:1022=0.540302038192749,1029=0.531180739402771,2096=0.51279217004776,2087=0.5093843340873718,596=0.49713826179504395,1282=0.4898443818092346,1032=0.46750640869140625,2018=0.46189144253730774,2080=0.4506562054157257,2078=0.44936099648475647
661:551=0.371351033449173,595=0.3587265908718109,364=0.3398819863796234,2078=0.33568865060806274,783=0.3310590088367462,588=0.31849393248558044,1029=0.3181869387626648,1022=0.3170030415058136,2294=0.3116190731525421,1032=0.30690479278564453
1961:1246=0.434643417596817,1302=0.4220525920391083,1962=0.39911705255508423,3448=0.3956807255744934,1097=0.3938378393650055,1270=0.38298681378364563,2797=0.3804541528224945,1196=0.38015103340148926,318=0.37996870279312134,1968=0.3781276047229767
1029:1022=0.5510016679763794,594=0.5311807990074158,2087=0.5037389397621155,596=0.5023218393325806,2096=0.4947769045829773,1032=0.4794183671474457,2080=0.4759831726551056,2018=0.47123387455940247,2085=0.44717779755592346,1282=0.44657444953918457
1836:851=0.2713198661804199,1611=0.25218942761421204,1701=0.24829021096229553,562=0.24610744416713715,2590=0.2316264510154724,1816=0.22892363369464874,94=0.22369717061519623,1966=0.2181287705898285,1673=0.2153465300798416,2271=0.21519415080547333
1270:1196=0.5499512553215027,260=0.5352938175201416,1210=0.5194740891456604,1097=0.5171521306037903,2011=0.5114011168479919,2918=0.5013725161552429,2797=0.5012680292129517,2716=0.4989989399909973,1240=0.4956326484680176,1198=0.4929569363594055
2791:2918=0.46469324827194214,1270=0.4594896137714386,1259=0.44973039627075195,2174=0.44886529445648193,1394=0.44787144660949707,1079=0.44719046354293823,2716=0.4420606791973114,2797=0.4348263442516327,1307=0.42652183771133423,1968=0.42513519525527954
783:595=0.45809802412986755,1566=0.4576943814754486,48=0.4463219940662384,364=0.43195125460624695,1688=0.4212828576564789,1907=0.41469964385032654,2687=0.38590824604034424,588=0.37067627906799316,2096=0.3706725239753723,1022=0.3565518260002136
1097:1196=0.5222823619842529,1270=0.5171521306037903,260=0.5157799124717712,1210=0.472408264875412,1240=0.4688713550567627,2797=0.4673462510108948,1198=0.46278905868530273,3471=0.46225297451019287,480=0.45579731464385986,2571=0.4518737196922302
1907:2687=0.4544767439365387,595=0.44643938541412354,364=0.4269973635673523,1566=0.42349082231521606,783=0.41469961404800415,2294=0.4008552134037018,588=0.3823643922805786,3034=0.37273821234703064,1022=0.3701184093952179,2081=0.36945855617523193
3186:3147=0.26906776428222656,3176=0.2607250511646271,2858=0.24737946689128876,1639=0.2452106922864914,1682=0.24283398687839508,1784=0.23124156892299652,3052=0.22447600960731506,2908=0.22388701140880585,318=0.22358117997646332,2336=0.2226276844739914
2018:596=0.5165783166885376,2085=0.47337520122528076,1029=0.4712338447570801,1022=0.4622136056423187,594=0.4618914723396301,2096=0.4423891007900238,2080=0.42080071568489075,2137=0.41136136651039124,1282=0.4070344865322113,1032=0.404699444770813
1721:1393=0.4453292489051819,356=0.40029507875442505,1704=0.3900740146636963,590=0.3839697241783142,597=0.38384461402893066,377=0.38288941979408264,1784=0.38089489936828613,150=0.3792586326599121,587=0.37571442127227783,318=0.3731977045536041
